page,scientific_name,common_name.hu
,Neocnemodon,pálcikáslegyek
,^ latitarsis,széleslábfejű pálcikáslégy
,^ fulvimanus,északi ~
,^ verrucula,szemölcsös ~
,^ brevidens,rövidsörtés ~
,^ pubescens,sötétszőrű ~
,^ vitripennis,világosszőrű ~
,Orthonevra,patakzengőlegyek
85,^ splendens,nagy patakzengőlégy
,^ elegans,sávosszemű ~
,^ intermedia,lápi ~
,^ geniculata,sötétszárnyjegyű ~
,^ brevicornis,rövidcsápú ~
,^ tristis,hegyi ~
,^ incisa,bemetszett ~
86,^ frontalis,levágottcsápú ~
,^ plumbago,fekete ~
,^ nobilis,boglárka ~
,Paragus,fenyérzengőlegyek
,^ haemorrhous,gyakori fenyérzengőlégy
,^ tibialis,fekete ~
,^ cinctus,sárga ~
,^ quadrifasciatus,foltoshátú ~
88,^ majoranae,ezüstcsíkos ~
,^ albifrons,pirosfoltos ~
,^ finitimus,hegyestüskéjű ~
,^ bicolor,kétszínű ~
,^ strigatus,feketefoltos ~
,^ medeae,Stanescu ~
89,Parasyrphus,cserjelegyek
,^ punctulatus,félholdfoltos cserjelégy
,^ macularis,korai ~
,^ nigritarsis,feketelábfejű ~
,^ malinellus,fényeshátú ~
,^ annulatus,sárgalábfejű ~
,^ lineola,sötétszárnyjegyű ~
,^ vittiger,halványszárnyjegyű ~
,Parhelophilus,csíkoslegyek
90,^ frutetorum,dudoros csíkoslégy
,^ versicolor,dudornélküli ~
,Pelecocera,szélescsápúlegyek
,^ tricincta,gyakori szélescsápúlégy
,^ latifrons,alpi ~
91,Pipiza,holdfoltúlegyek
,^ quadrimaculata,négypettyes holdfoltúlégy
,^ luteitarsis,vékonycombú ~
,^ festiva,nagypettyes ~
,^ fasciata,kétpántos ~
92,^ austriaca,dudoros ~
,^ lugubris,fekete ~
,^ fenestrata,ritka ~
,^ noctiluca,változékony ~
,^ bimaculata,gyakori ~
,Pipizella,törpelegyek
93,^ maculipennis,foltosszárnyú törpelégy
,^ mongolorum,mongol ~
,^ annulata,sárgalábú ~
,^ divicoi,hegyi ~
,^ viduata,közönséges ~
,^ virens,nagy ~
,^ zeneggenensis,Zeneggen ~
94,Platycheirus,széleslábúlegyek
,^ subambiguus,zsálya széleslábúlégy
,^ ambiguus,korai ~
,^ sticticus,kis ~
,^ discimanus,szürkefoltos ~
95,^ manicatus,ritka ~
,^ melanopsis,hegyi ~
,^ complicatus,alpesi ~
,^ tarsalis,fehérlábú ~
,^ tatricus,tátrai ~
,^ nielseni,nielseni ~
,^ peltatus,nagy ~
97,^ scutatus,erdei ~
,^ albimanus,fekete ~
,^ podagratus,hosszú ~
,^ scambus,északi ~
,^ immarginatus,parti ~
,^ fulviventris,vörössárga ~
,^ perpallidus,narancssárga ~
98,^ angustatus,karcsú ~
,^ clypeatus,közönséges ~
,^ europaeus,európai ~
100,Pocota,dongólegyek
,^ personata,európai dongólégy
,Portevinia,medvehagymalegyek
,^ maculata,szürkefoltos medvehagymalégy
,Psarus,gólyaorrlegyek
111,^ abdominalis,gólyaorrlégy
,Psilota,ragyogólegyek
,^ anthracina,kék ragyogólégy
,^ innupta,fekete ~
,Pyrophaena,nádilegyek
,^ rosarum,kétfoltú nádilégy
,^ granditarsa,széleslábú ~
,Rhingia,csőröslegyek
,^ rostrata,vörössárga csőröslégy
102,^ campestris,közönséges ~
,^ borealis,alip ~
,Scaeva,nagyhomlokúlegyek
,^ albomaculata,déli nagyhomlokúlégy
103,^ pyrastri,gyakori ~
,^ selenitica,sárga ~
,^ dignota,ritka ~
,Sericomyia,tőzegzengőlegyek
104,^ silentis,sárgapántos tőzegzengőlégy
,Spazigaster,bunkóslegyek
,^ ambulans,alpi bunkóslégy
,Sphaerophoria,darázslegyek
,^ loewi,feketecsápú darázslégy
,^ rueppelli,libatop ~
,^ shirchan,szahalini ~
105,^ scripta,tarka ~
,^ interrupta,kis ~
,^ fatarum,nyugati ~
106,^ batava,dunántúli ~
,^ taeniata,gyakori ~
,Sphegina,karcsúlegyek
107,^ sibirica,szibériai karcsúlégy
,^ montana,hegyi ~
,^ clavata,ritka ~
,^ verecunda,északi ~
,^ latifrons,sárgasörtéjű ~
,^ elegans,csinos ~
108,^ clunipes,gyakori ~
,Sphiximorpha,orsócsápúlegyek
,^ binominata,ritka orsócsápúlégy
,^ subsessilis,galagonya ~
,Spilomyia,odúzengőlegyek
,^ manicata; ^ manicatus [sic],ékfoltú odúzengőlégy
,^ saltuum,keskenysávú ~
109,^ diophthalma,háromfoltú
,Syritta,comboslegyek
,^ pipiens,zizegő comboslégy
,Syrphus,kertizengőlegyek
,^ torvus,nagy kertizengőlégy
110,^ nitidifrons,feketehomlokú ~
,^ sexmaculatus,ritka ~
,^ ribesii,közönséges ~
,^ vitripennis,kis ~
,Temnostoma,tigrislegyek
,^ vespiforme,sárga tigrislégy
111,^ meridionale,déli ~
,^ apiforme,ritka ~
,^ bombylans,fekete ~
,Trichopsomyia,erdőszélilegyek
,^ joratensis,fekete erdőszélilégy
112,^ flavitarsis,sárgalábfejű ~
,Triglyphus,aprózengőlegyek
,^ primus,fekete aprózengőlégy
,Tropidia,fogaslegyek
,^ fasciata,ritka fogaslégy
113,^ scita,gyakori ~
,Volucella,pihelegyek
114,^ bombylans,bundás pihelégy
,^ zonaria,kétöves ~
,^ inanis,háromöves ~
,^ inflata,kis ~
,^ pellucens,üvegpotrohú ~
,Xanthandrus,hernyólegyek
,^ comtus,szélespotrohú hernyólégy
,Xanthogramma,oldalsávoslegyek
115,^ laetum,szőrösszemű oldalsávoslégy
,^ festivum,korai ~
,^ dives,foltosszárnyú ~
116,^ pedissequum,gyakori ~
,Xylota,fazengőlegyek
,^ xanthocnema,sárganemezű fazengőlégy
,^ sylvarum,aranyszőrű ~
,^ segnis,gyakori ~
,^ triangularis,alpesi ~
,^ abiens,kis ~
,^ coeruleiventris,boreomontán ~
117,^ meigeniana,ritka ~
,^ florum,virág ~
,^ ignava,vörös ~
,^ tarda,barnasárga ~
